Тема,Канал,Тип контента,Заголовок,Время публикации,Приоритет,Статус,Настройки,Кампания
Как выбрать таргетированную рекламу для малого бизнеса,telegram,post,,2026-03-24 09:00,5,pending,"{""chat_id"": ""-1001142729178"", ""disable_notification"": false}",Q1-2026
Как выбрать таргетированную рекламу для малого бизнеса,vk,post,,2026-03-24 10:00,5,pending,"{""group_id"": ""123456789"", ""post_type"": ""post""}",Q1-2026
Как выбрать таргетированную рекламу для малого бизнеса,facebook,post,,2026-03-24 10:30,4,pending,"{""page_id"": ""123456789012345""}",Q1-2026
Как выбрать таргетированную рекламу для малого бизнеса,instagram,post,,2026-03-24 10:45,4,pending,"{""is_business"": true}",Q1-2026
Как выбрать таргетированную рекламу для малого бизнеса,pinterest,pin,,2026-03-24 11:00,4,pending,"{""board_id"": ""980870062533264681"", ""board_name"": ""Клиент-завод"", ""link"": ""https://clientzavod.ru/target-ads""}",Q1-2026
Как выбрать таргетированную рекламу для малого бизнеса,tiktok,video,,2026-03-24 11:30,4,pending,"{""username"": ""client_zavod""}",Q1-2026
Как выбрать таргетированную рекламу для малого бизнеса,blog,article,Полный гайд по таргетированной рекламе в 2026 году,2026-03-24 12:00,3,pending,"{""author_id"": ""1"", ""category"": ""SMM"", ""slug"": ""target-ads-guide-2026""}",Q1-2026
5 ошибок при запуске рекламы в Telegram Ads,telegram,post,,2026-03-25 09:00,5,pending,,Q1-2026
5 ошибок при запуске рекламы в Telegram Ads,vk,post,,2026-03-25 10:00,5,pending,,Q1-2026
5 ошибок при запуске рекламы в Telegram Ads,ok,post,,2026-03-25 10:30,4,pending,"{""group_id"": ""12345678901234""}",Q1-2026
5 ошибок при запуске рекламы в Telegram Ads,youtube,video,5 ОШИБОК Telegram Ads — как не слить бюджет,2026-03-25 15:00,4,pending,"{""category"": ""Education"", ""tags"": [""Telegram Ads"", ""реклама"", ""ошибки""]}",Q1-2026
5 ошибок при запуске рекламы в Telegram Ads,pinterest,pin,,2026-03-25 16:00,4,pending,"{""board_id"": ""980870062533264681"", ""board_name"": ""Ошибки рекламы"", ""link"": ""https://clientzavod.ru/telegram-ads-mistakes""}",Q1-2026
Контент-план на месяц: как планировать публикации,telegram,post,,2026-03-26 09:00,3,pending,,Q1-2026
Контент-план на месяц: как планировать публикации,facebook,post,,2026-03-26 10:00,3,pending,,Q1-2026
Контент-план на месяц: как планировать публикации,email,newsletter,Как спланировать контент на месяц вперёд,2026-03-26 10:00,3,pending,"{""template"": ""newsletter"", ""from_name"": ""Клиент-завод""}",Q1-2026
Контент-план на месяц: как планировать публикации,pinterest,pin,,2026-03-26 11:00,3,pending,"{""board_id"": ""980870062533264681"", ""board_name"": ""SMM советы"", ""link"": ""https://clientzavod.ru/content-plan""}",Q1-2026
Личный бренд предпринимателя в соцсетях,telegram,post,,2026-03-27 09:00,4,pending,,Q1-2026
Личный бренд предпринимателя в соцсетях,vk,post,,2026-03-27 10:00,4,pending,,Q1-2026
Личный бренд предпринимателя в соцсетях,instagram,post,,2026-03-27 10:30,4,pending,,Q1-2026
Личный бренд предпринимателя в соцсетях,ok,post,,2026-03-27 11:00,4,pending,,Q1-2026
Личный бренд предпринимателя в соцсетях,pinterest,pin,,2026-03-27 11:30,4,pending,"{""board_id"": ""980870062533264681"", ""board_name"": ""Личный бренд"", ""link"": ""https://clientzavod.ru/personal-brand""}",Q1-2026
Личный бренд предпринимателя в соцсетях,zen,article,Как личный бренд помогает продавать в соцсетях,2026-03-27 14:00,4,pending,"{""channel_id"": ""zen-channel-id""}",Q1-2026
Как написать продающий текст для рекламного поста,telegram,post,,2026-03-28 09:00,5,pending,,Q1-2026
Как написать продающий текст для рекламного поста,facebook,post,,2026-03-28 09:30,5,pending,,Q1-2026
Как написать продающий текст для рекламного поста,pinterest,pin,,2026-03-28 10:00,5,pending,"{""board_id"": ""980870062533264681"", ""board_name"": ""Копирайтинг"", ""link"": ""https://clientzavod.ru/sales-copy""}",Q1-2026
Как написать продающий текст для рекламного поста,blog,article,Продающий текст для рекламы: формулы и примеры,2026-03-28 12:00,4,pending,"{""author_id"": ""1"", ""slug"": ""sales-copy-formulas""}",Q1-2026
Автоматизация публикаций: сервисы и инструменты,telegram,post,,2026-03-29 09:00,4,pending,,Q1-2026
Автоматизация публикаций: сервисы и инструменты,vk,post,,2026-03-29 10:00,4,pending,,Q1-2026
Автоматизация публикаций: сервисы и инструменты,pinterest,pin,,2026-03-29 10:30,4,pending,"{""board_id"": ""980870062533264681"", ""board_name"": ""SMM инструменты"", ""link"": ""https://clientzavod.ru/automation""}",Q1-2026
Автоматизация публикаций: сервисы и инструменты,youtube,video,ТОП-5 сервисов для автоматизации SMM,2026-03-29 15:00,4,pending,"{""category"": ""Science & Technology""}",Q1-2026
Как выбрать площадку для рекламы бизнеса,telegram,post,,2026-03-30 09:00,5,pending,,Q1-2026
Как выбрать площадку для рекламы бизнеса,vk,post,,2026-03-30 10:00,5,pending,,Q1-2026
Как выбрать площадку для рекламы бизнеса,facebook,post,,2026-03-30 10:30,5,pending,,Q1-2026
Как выбрать площадку для рекламы бизнеса,pinterest,pin,,2026-03-30 11:00,4,pending,"{""board_id"": ""980870062533264681"", ""board_name"": ""Реклама бизнеса"", ""link"": ""https://clientzavod.ru/ad-platforms""}",Q1-2026
Почему реклама не работает: 7 причин,telegram,post,,2026-03-31 09:00,6,pending,,Q1-2026
Почему реклама не работает: 7 причин,vk,post,,2026-03-31 10:00,6,pending,,Q1-2026
Почему реклама не работает: 7 причин,ok,post,,2026-03-31 10:30,5,pending,,Q1-2026
Почему реклама не работает: 7 причин,email,newsletter,7 причин почему ваша реклама не работает,2026-03-31 10:00,6,pending,"{""template"": ""newsletter""}",Q1-2026
Почему реклама не работает: 7 причин,pinterest,pin,,2026-03-31 11:00,5,pending,"{""board_id"": ""980870062533264681"", ""board_name"": ""Ошибки рекламы"", ""link"": ""https://clientzavod.ru/ad-mistakes""}",Q1-2026
